"ID";"Date";"Price";"Amount"
16060;2013-05-31;600;1
16059;2013-05-31;300;1
16061;2013-05-31;600;1
15961;2013-06-01;300;1
16070;2013-06-01;300;1
16071;2013-06-01;900;1
16079;2013-06-02;860;1
16082;2013-06-03;400;1
16084;2013-06-03;200;1
16086;2013-06-03;600;1
15318;2013-06-04;600;1
16091;2013-06-04;360;1
16096;2013-06-04;540;1
16098;2013-06-04;200;1
16100;2013-06-04;180;1
16109;2013-06-05;600;1
16114;2013-06-05;860;1
16104;2013-06-06;600;1
15139;2013-06-06;1720;1
15139;2013-06-06;960;1
15547;2013-06-07;600;1
16128;2013-06-08;600;1
16102;2013-06-09;360;1
12859;2013-06-09;380;1
12859;2013-06-09;490;1
12859;2013-06-09;480;1
12859;2013-06-09;180;1
16135;2013-06-10;600;1
16137;2013-06-10;200;1
12208;2013-06-10;280;1
16141;2013-06-10;600;1
16143;2013-06-10;900;1
16146;2013-06-11;760;1
15118;2013-06-11;860;1
15118;2013-06-11;980;1
16150;2013-06-11;200;1
16154;2013-06-12;150;1
16162;2013-06-13;200;1
16162;2013-06-13;200;1
16154;2013-06-13;150;1
12693;2013-06-14;980;1
15120;2013-06-15;900;1
16173;2013-06-15;600;1
16176;2013-06-15;600;1
16172;2013-06-15;1500;1
16177;2013-06-16;600;1
16179;2013-06-16;1200;1
16185;2013-06-17;600;1
16187;2013-06-17;1800;1
16187;2013-06-17;600;1
16192;2013-06-18;800;1
16197;2013-06-19;300;1
16178;2013-06-20;600;1
14637;2013-06-20;600;1
11512;2013-06-20;600;1
10816;2013-06-21;1290;1
16092;2013-06-22;980;1
13680;2013-06-24;1440;1
15444;2013-06-26;1600;1
16146;2013-06-27;900;1
12226;2013-06-27;1350;1
12478;2013-06-28;900;1
14947;2013-06-29;760;1
12385;2013-06-19;100;1
16254;2013-07-01;200;1
16255;2013-07-01;200;1
12119;2013-07-04;300;1
16264;2013-07-13;880;1
16264;2013-07-13;880;1
12478;2013-07-18;420;1
11177;2013-07-20;860;1
4482;2013-07-22;480;1
4482;2013-07-22;800;1
4477;2013-07-22;800;1
4494;2013-07-22;960;1
4714;2013-07-22;920;1
4714;2013-07-22;560;1
4714;2013-07-22;840;1
4715;2013-07-22;920;1
4715;2013-07-22;560;1
4715;2013-07-22;840;1
4496;2013-07-22;760;1
4496;2013-07-22;480;1
4910;2013-07-22;700;1
6947;2013-07-22;700;1
5047;2013-07-22;700;1
5047;2013-07-22;800;1
5209;2013-07-22;800;1
5209;2013-07-22;700;1
6946;2013-07-22;640;1
6946;2013-07-22;620;1
6946;2013-07-22;720;1
11420;2013-07-22;640;1
11420;2013-07-22;620;1
11420;2013-07-22;720;1
9605;2013-07-22;480;1
9605;2013-07-22;480;1
6956;2013-07-22;480;1
6956;2013-07-22;480;1
4983;2013-07-22;760;1
4983;2013-07-22;480;1
4985;2013-07-22;760;1
4985;2013-07-22;480;1
4591;2013-07-22;480;1
4591;2013-07-22;800;1
13396;2013-07-22;640;1
13396;2013-07-22;420;1
16272;2013-07-22;420;1
13886;2013-07-22;480;1
4825;2013-07-22;480;1
4525;2013-07-22;480;1
4525;2013-07-22;700;1
4525;2013-07-22;400;1
4974;2013-07-22;480;1
4974;2013-07-22;700;1
4974;2013-07-22;400;1
4928;2013-07-22;720;1
4929;2013-07-22;720;1
5079;2013-07-22;760;1
5078;2013-07-22;760;1
4548;2013-07-22;640;1
4548;2013-07-22;420;1
16274;2013-07-22;340;1
16274;2013-07-22;560;1
4807;2013-07-22;760;1
4739;2013-07-22;760;1
4740;2013-07-22;760;1
16275;2013-07-22;3520;1
13412;2013-07-22;760;1
13411;2013-07-22;760;1
8706;2013-07-22;700;1
8706;2013-07-22;400;1
16276;2013-07-22;700;1
9466;2013-07-22;700;1
13227;2013-07-22;700;1
5180;2013-07-22;700;1
5180;2013-07-22;800;1
4528;2013-07-22;800;1
4528;2013-07-22;700;1
13228;2013-07-22;1840;1
8155;2013-07-22;700;1
8155;2013-07-22;720;1
7401;2013-07-22;800;1
13210;2013-07-22;720;1
13165;2013-07-22;720;1
13164;2013-07-22;720;1
5166;2013-07-23;480;1
5166;2013-07-23;400;1
7000;2013-07-23;400;1
7000;2013-07-23;480;1
8192;2013-07-23;800;1
8193;2013-07-23;800;1
8191;2013-07-23;800;1
5182;2013-07-23;760;1
9516;2013-07-23;880;1
9515;2013-07-23;2640;1
11394;2013-07-23;800;1
11395;2013-07-23;800;1
4899;2013-07-23;760;1
4899;2013-07-23;480;1
4899;2013-07-23;400;1
13652;2013-07-23;760;1
13653;2013-07-23;760;1
5086;2013-07-23;420;1
4939;2013-07-23;920;1
4940;2013-07-23;920;1
4546;2013-07-23;480;1
4546;2013-07-23;400;1
11561;2013-07-23;560;1
11561;2013-07-23;880;1
11561;2013-07-23;400;1
11560;2013-07-23;400;1
11560;2013-07-23;880;1
11560;2013-07-23;560;1
11514;2013-07-23;700;1
16279;2013-07-23;700;1
11515;2013-07-23;700;1
4694;2013-07-23;760;1
4695;2013-07-23;920;1
8437;2013-07-23;700;1
8437;2013-07-23;800;1
8438;2013-07-23;800;1
8438;2013-07-23;700;1
16280;2013-07-23;400;1
5699;2013-07-23;640;1
5701;2013-07-23;640;1
5700;2013-07-23;640;1
16281;2013-07-23;480;1
13489;2013-07-23;800;1
5484;2013-07-23;1600;1
5979;2013-07-23;1600;1
7051;2013-07-23;800;1
9577;2013-07-23;800;1
5980;2013-07-23;800;1
5087;2013-07-23;420;1
