model;predikce_celkem;predikce_na_klienta
Skutečnost;95510;345
CLV Pareto/NBD;118131;421
CLV BG/NBD;117837;420
CLV BG/CNBD-k;117837;420
CLV MBG/NBD;113650;405
CLV MBG/CNBD-k;113650;405
